H1,אָב
H2,אַב
H3,אֵב
H4,אֵב
H5,אֲבַגְתָא
H6,אָבַד
H7,אֲבַד
H8,אֹבֵד
H9,אֲבֵדָה
H10,אֲבַדֹּה
H11,אֲבַדּוֹן
H12,אַבְדָן
H13,אָבְדָן
H14,אָבָה
H15,אָבֶה
H16,אֵבֶה
H17,אֲבוֹי
H18,אֵבוּס
H19,אִבְחָה
H20,אֲבַטִּיחַ
H21,אֲבִי
H22,אֲבִיאֵל
H23,אֲבִיאָסָף
H24,אָבִיב
H25,אֲבִי גִּבְעוֹן
H26,אֲבִיגַיִל
H27,אֲבִידָן
H28,אֲבִידָע
H29,אֲבִיָה
H30,אֲבִיהוּא
H31,אֲבִיהוּד
H32,אֲבִיחַיִל
H33,אֲבִי הָעֶזרִי
H34,אֶבְיוֹן
H35,אֲבִיּוֹנָה
H36,אֲבִיטוּב
H37,אֲבִיטַל
H38,אֲבִיָם
H39,אֲבִימָאֵל
H40,אֲבִימֶלֶךְ
H41,אֲבִינָדָב
H42,אֲבִינֹעַם
H43,אֶביָסָף
H44,אֲבִיעֶזֶר
H45,אֲבִי־עַלְבוֹן
H46,אָבִיר
H47,אַבִּיר
H48,אֲבִירָם
H49,אֲבִישַׁג
H50,אֲבִישׁוַּע
H51,אֲבִישׁוּר
H52,אֲבִישַׁי
H53,אֲבִישָׁלוֹם
H54,אֶביָתָר
H55,אָבַךְ
H56,אָבַל
H57,אָבֵל
H58,אָבֵל
H59,אָבֵל
H60,אֵבֶל
H61,אֲבָל
H62,אָבֵל בֵּית מֲעַכָה
H63,אָבֵל הַשִּׁטִּים
H64,אָבֵל כְּרָמִים
H65,אָבֵל מְחוֹלָה
H66,אַבֵל מַיִם
H67,אָבֵל מִצרַיִם
H68,אֶבֶן
H69,אֶבֶן
H70,אֹבֶן
H71,אֲבָנָה
H72,אֶבֶן הָעֵזֶר
H73,אַבנֵט
H74,אַבנֵר
H75,אָבַס
H76,אֲבַעְבֻּעָה
H77,אֶבֶץ
H78,אִבצָן
H79,אָבַק
H80,אָבָק
H81,אֲבָקָה
H82,אָבַר
H83,אֵבֶר
H84,אֶברָה
H85,אַברָהָם
H86,אַברֵךְ
H87,אַברָם
H88,אֹבֹת
H89,אָגֵא
H90,אֲגַג
H91,אֲגָגִי
H92,אֲגֻדָּה
H93,אֱגוֹז
